사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
2020010100100286,2020년 1월 1일 19시,수요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,여,72세,상해없음,보행자,여,77세,중상,37.5770134,127.0484576
2020010800100161,2020년 1월 8일 09시,수요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,54세,상해없음,보행자,남,87세,경상,37.5652552,127.0548557
2020010800100190,2020년 1월 8일 10시,수요일,서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,74세,상해없음,보행자,여,74세,경상,37.5924867,127.0657189
2020010800100216,2020년 1월 8일 11시,수요일,서울특별시 동대문구 제기동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,45세,상해없음,보행자,남,76세,부상신고,37.5837682,127.0340306
2020011200100177,2020년 1월 12일 14시,일요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,85세,중상,37.5826174,127.0477763
2020012000100606,2020년 1월 20일 20시,월요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,41세,상해없음,보행자,여,68세,중상,37.5745929,127.0532836
2020020100100167,2020년 2월 1일 12시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,72세,상해없음,보행자,여,74세,중상,37.5724115,127.0305532
2020020300100300,2020년 2월 3일 14시,월요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,41세,상해없음,보행자,여,72세,중상,37.5792961,127.0426486
2020021300100024,2020년 2월 13일 02시,목요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,승용,남,52세,상해없음,보행자,남,65세,경상,37.5658367,127.0550327
2020021800100512,2020년 2월 18일 18시,화요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,기타,단일로 - 기타,자전거,남,24세,기타불명,보행자,여,68세,중상,37.5851829,127.0526706
2020022100100412,2020년 2월 21일 17시,금요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,39세,상해없음,보행자,여,80세,중상,37.573859,127.0310551
2020022400100446,2020년 2월 24일 20시,월요일,서울특별시 동대문구 휘경동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,남,79세,중상,37.5909841,127.0648224
2020022900100243,2020년 2월 29일 16시,토요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,남,77세,경상,37.5864468,127.0361208
2020030200100446,2020년 3월 2일 23시,월요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,보행자,남,69세,중상,37.5725226,127.0376825
2020032900100256,2020년 3월 29일 17시,일요일,서울특별시 동대문구 용두동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,47세,경상,보행자,여,67세,경상,37.5747712,127.0350211
2020033000100159,2020년 3월 30일 11시,월요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,62세,상해없음,보행자,여,78세,중상,37.5710337,127.049568
2020040300100101,2020년 4월 3일 09시,금요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,보행자,남,80세,경상,37.5757515,127.040593
2020042400100299,2020년 4월 24일 14시,금요일,서울특별시 동대문구 회기동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,상해없음,보행자,남,68세,경상,37.593791,127.0526204
2020050800100547,2020년 5월 8일 20시,금요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,39세,상해없음,보행자,남,68세,경상,37.5771534,127.028227
2020052100100123,2020년 5월 21일 09시,목요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,61세,상해없음,보행자,남,86세,중상,37.576828,127.0350848
2020060300100270,2020년 6월 3일 14시,수요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,39세,상해없음,보행자,여,88세,중상,37.5682,127.0761114
2020062400100670,2020년 6월 24일 23시,수요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,75세,상해없음,보행자,여,81세,경상,37.5774423,127.0721184
2020062600100158,2020년 6월 26일 09시,금요일,서울특별시 동대문구 이문동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,70세,상해없음,보행자,여,75세,경상,37.5952773,127.0594898
2020070300100620,2020년 7월 3일 22시,금요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,여,76세,중상,37.5758299,127.0720688
2020072100100449,2020년 7월 21일 18시,화요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,흐림,교차로 - 교차로안,원동기,남,23세,상해없음,보행자,남,81세,중상,37.5828629,127.0371806
2020073100100061,2020년 7월 31일 06시,금요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,24세,상해없음,보행자,여,77세,경상,37.5789481,127.0720734
2020081700100543,2020년 8월 17일 22시,월요일,서울특별시 동대문구 이문동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,34세,상해없음,보행자,여,76세,중상,37.6031289,127.0620494
2020082600100158,2020년 8월 26일 11시,수요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,여,71세,중상,37.5832668,127.0450297
2020090100100209,2020년 9월 1일 13시,화요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,보행자,여,76세,중상,37.5704079,127.0305146
2020092800100672,2020년 9월 28일 19시,월요일,서울특별시 동대문구 휘경동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,61세,경상,보행자,여,68세,경상,37.5898887,127.0687187
2020092800100673,2020년 9월 28일 19시,월요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,상해없음,보행자,남,72세,중상,337.5699511,127.0735862
2020093000100121,2020년 9월 30일 09시,수요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,53세,상해없음,보행자,여,67세,중상,37.5781182,127.0387792
2020100100100120,2020년 10월 1일 13시,목요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,52세,상해없음,보행자,남,71세,중상,37.5667685,127.0746172
2020100400100326,2020년 10월 4일 19시,일요일,서울특별시 동대문구 제기동,중상사고,0,2,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,35세,중상,보행자,여,72세,중상,37.589596,1270365928
2020102100100198,2020년 10월 21일 10시,수요일,서울특별시 동대문구 이문동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),남,45세,상해없음,보행자,남,79세,부상신고,,
2020102500100066,2020년 10월 25일 05시,일요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,58세,상해없음,보행자,남,75세,중상,37.5738385,127.038292
2020102900100262,2020년 10월 29일 12시,목요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,단일로 - 기타,자전거,남,28세,상해없음,보행자,여,79세,경상,37.5829676,127.0399389
2020110500100320,2020년 11월 5일 15시,목요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,28세,상해없음,보행자,여,83세,중상,37.5808048,127.0513232
2020112400100303,2020년 11월 24일 15시,화요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,73세,상해없음,보행자,남,69세,중상,37.58176,127.0405625
2020112500100031,2020년 11월 25일 06시,수요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,보행자,남,81세,중상,37.5702565,127.0533124
2020112900100337,2020년 11월 29일 20시,일요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,74세,중상,37.5820034,127.0446314
2020120100100264,2020년 12월 1일 13시,화요일,서울특별시 동대문구 회기동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,83세,상해없음,보행자,남,78세,경상,37.5934372,127.0526868
2020120700100131,2020년 12월 7일 10시,월요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,54세,상해없음,보행자,여,89세,중상,37.5676516,127.0687562