시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 동대문구1,서울특별시 동대문구 용두동(경동시장앞교차로 부근),9,10,0,10,0,0
서울특별시 동대문구2,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),9,9,0,9,0,0
서울특별시 동대문구3,서울특별시 동대문구 제기동(경동시장 부근),8,10,1,8,1,0
서울특별시 동대문구4,서울특별시 동대문구 제기동(용두교 부근),5,6,0,5,0,1
서울특별시 동대문구5,서울특별시 동대문구 청량리동(청량리역2번출구 부근),5,5,0,5,0,0
서울특별시 동대문구6,서울특별시 동대문구 제기동(식당재료유통할인 부근),5,5,0,5,0,0
서울특별시 동대문구7,서울특별시 동대문구 용두동(성바오로병원앞교차로 부근),5,5,0,5,0,0
서울특별시 동대문구8,서울특별시 동대문구 제기동(성바오로병원앞교차로 부근),10,10,0,3,7,0
서울특별시 동대문구9,서울특별시 동대문구 용두동(경동시장앞교차로 부근),9,12,1,5,6,0
서울특별시 동대문구10,서울특별시 동대문구 회기동(경희대 부근),6,11,0,3,8,0
서울특별시 동대문구11,서울특별시 동대문구 제기동(식당재료유통할인 부근),5,5,0,4,1,0
서울특별시 동대문구12,서울특별시 동대문구 장안동(장안동삼거리 부근),4,4,0,1,3,0
서울특별시 동대문구13,서울특별시 동대문구 용두동(서울시설공단 부근),3,3,0,2,1,0
서울특별시 동대문구14,서울특별시 동대문구 휘경동(위생병원앞교차로 부근),3,3,0,2,1,0
서울특별시 동대문구15,서울특별시 동대문구 제기동(경동시장 부근),13,14,0,7,6,1
서울특별시 동대문구16,서울특별시 동대문구 제기동(우리은행청량리중앙지 부근),12,12,0,8,4,0
서울특별시 동대문구17,서울특별시 동대문구 청량리동(옥치과의원 부근),7,7,0,5,2,0
서울특별시 동대문구18,서울특별시 동대문구 신설동(신설동역일반국도6호선 부근),7,7,0,3,3,1
서울특별시 동대문구19,서울특별시 동대문구 제기동(제기사거리 부근),6,6,0,4,2,0
서울특별시 동대문구20,서울특별시 동대문구 청량리동(영휘원 부근),5,5,0,5,0,0
서울특별시 동대문구21,서울특별시 동대문구 장안동(장안동우리은행 부근),5,5,0,2,2,1
서울특별시 동대문구22,서울특별시 동대문구 답십리동(쌍마빌딩 부근),3,4,0,4,0,0
서울특별시 동대문구23,서울특별시 동대문구 휘경동(백합빌딩 부근),3,3,0,3,0,0
서울특별시 동대문구24,서울특별시 동대문구 용두동(마장동사거리 부근),3,3,0,0,3,0
서울특별시 동대문구25,서울특별시 동대문구 청량리동(청량리정신병원입구 부근),3,3,0,0,2,1